Actual,Message,Predicted
None,b'$TSLA correction: September 2014',Bearish
Bullish,b'$TSLA http://68.media.tumblr.com/7baba5910017000079a53263e462242c/tumblr_ncd8fnc48P1tguq51o1_1280.jpg Sept/13 Lita and I were first to drive an EV to the continental 48. The supercharger map sure has changed.',None
Bullish,b'$TSLA $1000 PT',None
None,b'Tesla Stock Has Nothing to Worry About $TSLA http://investorplace.com/2017/04/tesla-inc-tsla-stock-has-nothing-to-worry-about/',Bearish
None,b'$TSLA I think everyone should take rest from this board for some time.',None
None,b'$TSLA and then tanks to 250 or less',None
Bullish,b'$TSLA bet you anything price upgrades over 400 after this ER',None
None,b'Many one product companies $CMG $GOOG $FB $TSLA $NVDA Few multi product cos $MSFT $AMZN $F $GM Possible 1 product $AAPL Zero product $TWTR',None
None,b'$SMH $COHR $PCLN $GOOGL $TSLA $DVMT $IPGP $SYMC total studs everywhere# hard to be bearish about a market this hot. your % matters NONE',None
Bullish,b'$TSLA to continue growing exponentially for years',None
None,b'$TSLA weak Moneyflow MACD since April10?\n\nSimilar Nasdaq 80%Stocks flat to down?\nUnsustainable &lt;article on Art Cashin tech &quot;Bad Breadth&quot;&gt;',Bearish
Bullish,b'$TSLA Gotango I will be selling right b4 earnings!',None
None,b'@MrMakeItGoUp real companies go back up. like $tsla not nano cap scam stock stocks. learn to trade bro',None
Bearish,b'$TSLA Earnings coming next week. Ready to wake to the reality? There is no such thing as earning here?',None
None,b'$TSLA i&#39;m looking to add in the 290&#39;s. http://www.wincrease.com/marathon-money-podcast/marathon-money-ep-30-under-the-radar-stocks-to-buy-for-returns-comparable-to-more-popular-stocks/',Bullish
Bullish,b'$TSLA non tesla owners to be pay premium to charge at tesla stations',None
None,b'$TSLA 5 day chart is interesting..',None
Bullish,b'$TSLA Superchargers - Double the number by year end. https://www.tesla.com/blog/charging-our-priority',None
None,b'$TSLA it may be time to squeeze GS ... to give back some',None
Bearish,b'$TSLA like clock work',None
None,b'$TSLA Company pledges to double the number of supercharger stations in 2017. https://stocknews.com/news/tsla-tesla-inc-is-doubling-its-supercharger-network-this-year/',None
None,b'$TSLA $307.50 is heavy resistance.',None
Bullish,b'$TSLA 400#000 preorders on the Model 3',None
None,b'$TSLA Good luck with that risky manufacturing. It is car. Human life will be at risk.',None
Bearish,b'$TSLA we should break the low on this move',Bearish
None,b'$TSLA here comes more praying',None
Bearish,b'$TSLA and here comes more selling',None
None,b'$TSLA The consolidation periods are pre model S and pre Model 3. Short interest high each time. See any similarities?',None
Bullish,b'@Stumphin $TSLA 50 posts today alone for Tesla and we&#39;re 1/4 day along.  Back away from Mom&#39;s desktop.',None
Bullish,b'$TSLA got to keep shorts around to fund our growth and take their free money',None
Bullish,b'$TSLA follow the leader ????????????',None
None,b'$TSLA Ford is heading for $22 to justify Tesla market cap. Not against Tesla unless they insult Ford again.',Bearish
Bullish,b'$TSLA haven&#39;t been to a gas station in 7 months. Had to rent a car and fill tank on biz trip. Gas stations are gross# and expensive',None
Bullish,b'$TSLA Slow torture for Bears ....',Bearish
None,b'Using $TSLA Repeating Stock Patterns to Trade Options: http://wp.me/p6fy7h-6LTng @OphirGottlieb',None
Bullish,b'$TSLA Monthly',None
None,b'Tesla to Double Amount of Charging Stations This Year $TSLA http://dlvr.it/Nz5PfS',None
Bullish,b'$TSLA only people burning cash are the SHORTS',None
None,b'Electric Vehicles Face Major Test As $7#500 Tax Credit Could Come To An End https://benzinga.com/z/9335860 $GM $NSANY $TSLA',None
Bearish,b'$TSLA A recall# regardless of voluntary or not# highlights a quality issue.',Bearish
None,b'$TSLA how does teslas production currently compare to other small auto makers?',None
Bullish,b'$TSLA began 2017 with 5k Superchargers. By year end# It plans to have 10k. as well as 15k Destination chargers# at hotels# resorts# ...$1000',None
None,b'Tesla will double number of Supercharger stations in 2017 $TSLA @teslamotors #tesla http://cnb.cx/2pdHGHM http://bit.ly/TSLATCEHY',None
Bearish,b'$TSLA Rest assured I am spreading awareness of how unsafe the Model 3 will be. Skipping testing is serious. People&#39;s lives are at stake.',Bearish
Bullish,b'$TSLA Shorts squirming. Covered at the low posts Incoming in 5 4 3 2.......Lmao',None
None,b'$TSLA $400 is coming to give you dumbasses some hurt !',Bearish
None,b'$TSLA they crushed the weekly premiums two Monday&#39;s in a row.',None
Bullish,b'$TSLA to double EV Chargers at the stations!!',None
Bearish,b'$TSLA Musk sold you a sci-fi novel and you ate it up. $308 per share for one of the smallest mega caps in the country. 1.33 factories so far',None
Bullish,b'$TSLA Tesla Doubles Its Superchargers With Massive Solar Stations. Bloomberg. 1000$',None
None,b'$TSLA plans to double charging network in 2017 http://bit.ly/2pdJMrs',None
Bearish,b'$TSLA Anyone here get duped into paying thousands for faulty autopilot? I&#39;d be pissed.',Bearish
None,b'$TSLA $FB Tesla Turns Heads with Upcoming Foray into Trucking# Facebook Looks to Be an AR Trendsetter https://www.smarteranalyst.com/2017/04/24/tesla-inc-tsla-turns-heads-upcoming-foray-trucking-facebook-inc-fb-looks-ar-trendsetter/',None
None,b'$TSLA I sense some Shorts are ready to throw in the towel. The more they post the higher the price goes. LOL !',None
Bearish,b'$TSLA Tesla has sold 88#000 huge# environmentally damaging batteries and recalled 55#000 of them already. Low quality hype train.',Bearish
Bullish,b'$TSLA LOL 312 ;)',None
Bearish,b'$TSLA Every time I ask someone here in the 925 area code if they&#39;re considering an M3# they say no. Ppl like the idea more than the product.',None
Bullish,b'$TSLA will close over $308 .. this is 4 the haters who love TA ..',None
Bearish,b'$TSLA VW coming in with a universal charging system.  Something Tesla would have done if they actually cared about accelerating EVs.',None
None,b'Delphi Automotive to Supply Over-the-Air Update Capability Pioneered by Tesla $TSLA http://dlvr.it/Nz4q1t',None
None,b'$TSLA Tesla will double number of Supercharger stations in 2017 cnb.cx/2oo6gXw',None
Bearish,b'$TSLA  Operating expenses go up with each car produced. There&#39;s a 1% gap between sales growth and expense growth. That ignores debt &amp; dep.',Bearish
Bearish,b'$TSLA More competition being unveiled this August. From monopoly to open market competition. That&#39;s why you don&#39;t give away trademarks.',Bearish
None,b'$TSLA Fans &amp; Haters: Your Chance To Vote On Where The Stock Will Move After Earnings --- http://bit.ly/2q4MEUE',None
None,b'$TSLA no way earnings will be able to support current valuations? Looking to buy May puts this week',Bullish
Bearish,b'$TSLA I wonder why Musk has been so secretive about reservation updates. I doubt they sell 200#000 of those registered.',Bearish
Bullish,b'$TSLA here R the stories:\n1- M3 will b delayed \n2. M3 on Time risk assembly line\n3. Limited M3 production unable 2meet1/2M\n\nAll misleading',Bearish
Bullish,b'$TSLA They go big in Hong Kong',None
Bullish,b'$TSLA small cap auto companies will die off first due to cannibalization as Tesla gets larger# same shit happened in the GPU industry',None
Bearish,b'$TSLA 250M in debt interest obligations annually. Not to mention the principal coming due.  Got to sell some more stock soon to pay the bill',None
Bullish,b'$TSLA No strength at all. Every pop being sold. Seems like it needs to chop more. But this was 320 written all over it.',Bullish
Bearish,b'$TSLA Tesla was a good idea under Obama because the environment was a hot topic.  Now# it&#39;s just a niche company with massive debt.',Bullish
None,b'$TSLA nice# 315 calls already down to $1.5 from $3.',None
Bullish,b'$TSLA when gigafactory is fully optimized it&#39;s going to be a cash cow',None
None,b'$TSLA covered :( made $2# that&#39;s nothing... I thought we could drop $10 today. I guess I need to try again a bit later',None
Bullish,b'$TSLA look at the timing of every bashing news and you answer yourself \n\nIS IT COINCIDENCE?? You&#39;re smarter investor...',None
None,b'$TSLA no juice',None
None,b'$TSLA bears be like#  wait#  didn&#39;t you see that steep drop from 308 to almost 306?   why did it stop dropping.',None
Bearish,b'$TSLA $308 for your share of this company&#39;s continuous losses. It comes with a free bag to hold too.',Bearish
None,b'What Apple&#39;s Self-Driving Tech Looks Like $AAPL $GOOGL $TSLA - http://investorplace.com/2017/04/what-apple-inc-aapl-self-driving-car-technology-looks-like/',None
Bullish,b'$TSLA gap fill',None
None,b'$TSLA raised my stop calls',None
None,b'$TSLA lol we are off! 1030...tooo easy.',Bullish
Bearish,b'$TSLA This whole market is a game of musical chairs rn. Margin debt# GDP# geopolitics and stagnant wage growth will stop the music soon.',Bearish
Bullish,b'$TSLA do it CHina!',None
Bullish,b'@Stumphin Please keep posting. Seems every time you do we rally like instantly! Noticed this pattern in $tsla for weeks now',None
Bearish,b'$TSLA https://www.thestreet.com/story/14089152/1/shark-tank-star-kevin-o-leary-on-why-tesla-shares-are-headed-for-disaster.html?puc=yahoo&amp;cm_ven=YAHOO&amp;yptr=yahoo\n\nThis guy is an established investor. He knows a thing or two.',Bearish
Bullish,b'$TSLA lol shorts lose interest? keep shorting!',Bearish
Bearish,b'$TSLA A promise land full of hope# and $300 shares... Stupidly overvalued.',Bearish
Bearish,b'$TSLA Yeah NASDAQ showing no weakness this should be $310 watch out bears. It&#39;s been sticking to the Nasdaq for weeks.',Bearish
None,b'$TSLA Weak today. Market pulling back and this is going down...but it did not rally with $SPY.',Bearish
Bullish,b'$TWTR merge $twtr with $SQ ala $TSLA.  Buy it',None
None,b'Ford And GM\n https://seekingalpha.com/article/4064596?source=ansh $F# $TSLA# $GM',None
Bearish,b'$TSLA Im gonna say it again .. it&#39;s never up in an up market keep selling',None
None,b'$TSLA actually pretty weak today considering even sh!ttiest stocks green.',Bearish
Bearish,b'$TSLA only 30 min left for negative day',Bearish
Bullish,b'$TSLA lol shorties get out soon. Bull time soon',None
Bullish,b'$TSLA ER is all about hitting milestones. Most likely will beat as massive gigafactory expense was in previous quarters',None
None,b'$TSLA nice lil short now good earnings coming look out',Bullish
Bullish,b'$TSLA it gonna zoom off soon',None
Bullish,b'$TSLA if we get 1 million model 3 reserved we will have 35 billion revenue minimum wow',None
None,b'$TSLA tick tock# next tweet could jump this 10$. Any day of the week. Tesla = shorts&#39; hell',None
Bullish,b'$TSLA im coming after you!',None
None,b'$TSLA maturity 04/28/2017 Vol PutCallRatio of 1.13 puts=24#283 calls=21#527 . http://bit.ly/2oxtKVj',None
None,b'$TSLA on a side note anyone watching $BMRN today ???',None
Bearish,b'$TSLA Something I really want to know is why inventory went up Q4&#39;16 when apparently this company is production constrained.  Just odd to me',None
Bearish,b'$TSLA stop above 308 should do it',None
None,b'$TSLA it amazes me how much people are persistent in buying this subsidized unproven company at such a massive valuation',Bearish
None,b'Are These Highflyers About to Crash? http://bit.ly/240417TSLA2 $TSLA $AMD $VEEV',None
Bearish,b'$TSLA Hope you Tesla drivers don&#39;t ding your aluminum or let your car drive you into a wall. 55#000 recalled means service centers are full.',Bearish
Bullish,b'$TSLA shorts are victims of massive negative attack on tesla by oil and gas# car cos# chanos etc.  I drive the car and know they are lying.',Bearish
Bearish,b'$TSLA Cobalt is only an essential catalyst in LI-ion technology.  This company won&#39;t be affected by the hyperinflation in cobalt prices.',None
Bullish,b'$TSLA shorts think the earth is flat',None
Bullish,b'$TSLA off to a hot start again this week! 320s in sight!',None
Bearish,b'$TSLA Ah yes# T-Shirts.  Master plan part trois.  The billions these pull in will calm investors worries for sure.',Bearish
None,b'$TSLA https://www.amazon.com/LPM-Future-driver-Creeper-12-18months/dp/B01N7T0KEM/ref=sr_1_2?ie=UTF8&amp;qid=1493045936&amp;sr=8-2&amp;keywords=Future+tesla',None
None,b'$TSLA look what i found lol',None
Bearish,b'$TSLA Did y&#39;all know Tesla&#39;s are 50% more expensive in China now and Tesla gets none of it? I&#39;m sure that&#39;s great for demand.',Bullish
Bearish,b'$TSLA https://www.google.com/amp/www.popularmechanics.com/science/energy/amp15335/watch-lithium-ion-battery-explode/\n\nDon&#39;t even pretend this isn&#39;t a real concern. A fiery death is nothing to take lightly.',Bearish
None,b'$TSLA I remember the four letter symbol meltdown only too well. It was all about theyre going up forever. Cant sit it out',None
None,b'$TSLA I am# because when the music stops...I wouldn&#39;t have this in my kids 529  that&#39;s for sure',Bearish
Bearish,b'$TSLA Couple days left in April# still no word for the solar shingle deposits that posted $4 to this stock price. I&#39;m sure it won&#39;t unwind.',None
Bullish,b'$TSLA keep shorting!',None
None,b'$TSLA This blind faith is really concerning',None
None,b'$TSLA have cover rest at 305.15',None
None,b'$TSLA How much more pain shorts needed to capitulate? $314.',None
None,b'$TSLA The providing wealthy with cars is not really accurate. The problem with this guy is that he plays by his OWN rules.',Bearish
Bullish,b'$TSLA these misleading info aboutM3 2fool investors n manipulate stock&#39;llbe investigated by Federal Regulators(SEC) \nhttp://amp.usatoday.com/story/100325642/',Bearish
Bearish,b'$TSLA just keep selling into it',None
Bearish,b'$TSLA My personal banker thought space X was part of Tesla. And causal conversation reveals the avg person is sure M3 will be fill AP. ?',None
None,b'$TSLA Shorts are doomed. They will not get out immediately# they will feel the pain S---L---O---W---L---Y',None
Bearish,b'$TSLA Elon Musk has burned through more investor money in one year than some companies will make in a decade. All so rich ppl can have toys.',Bearish
None,b'$TSLA don&#39;t want to jinx this but I&#39;m not actually bullish this week. I think we see correction next month or when factories up prod.',Bearish
None,b'$TSLA All I read from longs is this blind faith that it will all ork out in the end. For options# look at VIX  pounded again',None
None,b'$TSLA Garbage ...lol',None
None,b'$TSLA both put and call option buyers loosing',None
None,b'$TSLA detergent bottle spill# disgruntled impostor worker# autonomous lawsuit (w5??)# skipping production step# competition =SHORT EMPHASIS',None
Bearish,b'$TSLA Where&#39;s that shuttle fleet that drives itself? I heard that makes up 25% of the imaginary valuation. All I know it&#39;s AP doesn&#39;t work',None
None,b'$TSLA You are really dumb!',None
None,b'$TSLA employees are doing the testing? Its SO WEIRD',None
None,b'$TSLA only over 306.40',None
Bearish,b'$TSLA Skipping testing because you have computer models is quite possibly the worst excuse to endanger the public I&#39;ve heard all year.',Bearish
None,b'$TSLA law suit',None
None,b'$TSLA not if you see strikes. Not if more mechanical issues surface. You really want to ride this through earnings? OMG',None
Bullish,b'$TSLA Wish there was some fashion by which i could assist TESLA in their business endeavours (for free). Investing# of course# makg a C_LOAD',None
Bullish,b'$TSLA I&#39;m guessing we will be around 28 billion revenue guaranteed by summer',None
None,b'Another record highs $FB $GOOGL $PCLN $MSFT; they just rotate; $AAPL $TSLA $NFLX $AMZN matter of time it hits record  highs. $SPY $QQQ',None
Bearish,b'$TSLA Can we get another farting unicorn or a mounted etch-a-sketch to boost market cap another few billion?',Bullish
None,b'$TSLA who gets divorced then marries the same girl again? so random. He keeps a company alive by buying it with a company that make ZERO $',Bearish
None,b'$WB $TSLA If you own enough of Weibo and Tesla# you are set for life... please# be my friend.',None
Bullish,b'$TSLA shorts see a dip and don&#39;t realize that&#39;s their chance. They fool each other into holding for a bigger loss.',Bearish
None,b'$TSLA I think she&#39;s worth more than $10  :)',None
Bearish,b'$TSLA throwing around these numbers -1 bill here and there won&#39;t make the stock go up today',None
Bearish,b'$TSLA Why isn&#39;t this trash rallying.  Elon has a new girlfriend that&#39;s worth at least $10 isn&#39;t it?',None
Bullish,b'$TSLA Even when we look at this stock with a daily magnifying glass it looks good. Back-out a tid to notice just how good its LONGTerm looks',Bullish
Bullish,b'$TSLA atleast 21 billion revenue guaranteed',None
None,b'$TSLA they got a look at the books that no one else did.',None
None,b'$TSLA Does it bother anyone else that the bulk of the underwriters from the march 16 addl shares have numbers below $200?',None
Bearish,b'$TSLA Model 3 is one of the uglier cars on the road.  And that interior is absolute crap',None
Bearish,b'$TSLA another 1$ and it&#39;s negative for the day',Bearish
Bullish,b'$TSLA model 3 pre order not open in China yet. Chinese pre order alone will be a million or two',None
Bearish,b'$TSLA wow the selling is relentless.. wouldn&#39;t be surprised to see the entire market turn this afternoon or before..',None
Bearish,b'$TSLA Tax aid for EVs is diminishing across the globe. Once the life line is gone and gas is cheap ICE isn&#39;t going anywhere',Bearish
Bearish,b'$TSLA is not AMZN# really will catch up. AMZN has literally no competition# Car companies woke up a long time ago. Competition is coming',None
None,b'$TSLA ready to announce model 3 pre orders approach 1 million',None
None,b'$TSLA any given week this can move $30-40 in either direction.',None
Bearish,b'$TSLA I&#39;m short term bearish TSLA# Long term Bullish',None
Bearish,b'$TSLA option mm can&#39;t even give the calls away',None
None,b'$TSLA Ready to go again',None
None,b'$TSLA What a ONE SIDED# poorly written piece of misleading and fear-attempting piece of...garbage - SHAMEFUL SHORTs https://techcrunch.com/2017/04/24/teslas-model-3-production-plans-said-to-include-a-risky-manufacturing-move/amp/',Bearish
Bearish,b'$TSLA 50b market cap for a tiny Bay Area company that hasn&#39;t found a way to turn a profit in 12 years.  Fu** this market',None
Bullish,b'$TSLA manipulation n deception .. this will end soon and people / investors will know soon how they&#39;re being misled once M3 start rolling !!',Bearish
None,b'Joes weekend video ... always check and watch $AMZN $AAPL $TSLA $SPY $IWM',None
Bearish,b'$TSLA weakest link in the market here',Bearish
None,b'$TSLA paid more than I wanted to but I&#39;m in for 100@.36 average. We shall see.',None
Bullish,b'$TSLA LOL just wait...',None
Bearish,b'$TSLA 306 break soon and that&#39;s straight down to 300 today forget this wee',Bearish
None,b'$TSLA hmmmmm weakness into market strength',None
Bearish,b'$TSLA prefect storm coming guys... I am short a little from 309.50 :) may test more# but I am good for now',Bullish
None,b'$TSLA sound like Trump - FAKE NEWS# FAKE NEWS ... lol',None
Bearish,b'$TSLA you won&#39;t see 307 anymore',None
None,b'$TSLA http://www.reuters.com/article/us-tesla-assemblyline-idUSKBN17Q0DE',None
Bearish,b'$TSLA turning red soon and will test 300 again by tomorrow',None
Bearish,b'$TSLA almost nothing else is moving down that fast.. we will be negative by lunch and maybe under 300',Bearish
None,b'Musk Nearing $1.4 Billion Windfall as Tesla Achieves Milestones $TSLA - Bloomberg - http://www.streeteye.com/t/91fG',Bullish
None,b'$TSLA range shifted to 300 to 310',None
Bullish,b'$TSLA this is pure bashing n misleading news beware \nhttps://techcrunch.com/2017/04/24/teslas-model-3-production-plans-said-to-include-a-risky-manufacturing-move/amp/',Bearish
Bearish,b'$TSLA don&#39;t forget tsla never goes up in a big up market',None
Bearish,b'$TSLA Robbery.  Why isn&#39;t the SEC involved in this. Fidelity out here robbing people.',None
None,b'$TSLA  joke',None
Bearish,b'$TSLA see TSLA selloff- short@310.49#  306-304 or lower cover maybe',None
None,b'$TSLA Filling gap before charge higher',None
None,b'$TSLA The &quot;Lutz Top&quot; is iron clad. Stlk has be LUTZED. Never higher than when auto expert said beware of dangerous stupid valuation.',Bearish
None,b'3 Driverless Car Stocks You Won&#39;t Have to Babysit http://bit.ly/240417GOOG1 $GOOG $GOOGL $NVDA $TSLA',None
Bearish,b'$TSLA Ouch!!',None
None,b'$TSLA Straight down from 310 FBR.',None
None,b'$TSLA still think it needs to retest $300',None
Bearish,b'$TSLA move stop over 308 now',None
None,b'$TSLA  garbage',None
Bearish,b'$TSLA last you will see of 307 now be careful don&#39;t believe the bs technical analysis',None
Bullish,b'$TSLA resell value on GM cars are like sh****t .. more the 80% loss in 7 years selling my Cadi 4 15k (tag $78k).. bye bye no more garbage !!',Bearish
None,b'$TSLA wait for dip!',None
Bullish,b'$TSLA ER will beat. Massive giga factory cost in previous quarters.',None
Bearish,b'$TSLA new lows being printed every min now',None
Bearish,b'$TSLA major selling here doubt you will see this over 308 again this week keep selling.. negative by day&#39;s end',Bearish
None,b'$TSLA going for lows',None
Bullish,b'$TSLA all car makers want to become electric. That proves musk&#39;s vision. Piston sellers realizing it&#39;s an electric world.',None
None,b'$TSLA moving my stop loss from 294 to 300',Bearish
None,b'$TSLA can&#39;t play around spending serious premium on puts per put as long as this stays so strong.',None
None,b'$TSLA this has became more stable stock',Bullish
Bearish,b'$TSLA Nasdaq sitting at ATH there&#39;s not much preventing this from 310 today. Carried by ETF inflows. This company is a BBB Jenga block',Bearish
Bearish,b'$TSLA it&#39;s a gigantic IF# but if there&#39;s a negative reaction to tax credits Wednesday this will drop. Buying weekly 290 puts for cheap .30',Bearish
Bullish,b'$TSLA massive negative antiTesla campaign is in place to stop the rise of Tesla .. MILLIONS HAVE BEEN ALLOCATED 4THAT... be smart not a Fool',Bearish
Bullish,b'$TSLA don&#39;t get distracted by haters. Kevin O&#39;Leary expresses his ignorance 2 weeks ago and media repeats it 50 times. Lol. Going to 1000',Bearish
Bullish,b'$TSLA 5-10 folds still to come in 5 years',None
None,b'$TSLA stc my calls from friday flat. at mini channel resistance.',None
Bearish,b'$TSLA Tesla&#39;s Musk Paid at Least $593 Million in Income Taxes in 2016 https://www.bloomberg.com/news/articles/2017-04-21/tesla-s-musk-paid-at-least-593-million-in-income-taxes-in-2016',None
Bullish,b'$TSLA an Automaker who stops other Automaker from selling directly its own products to customers  is a one with no INTEGRITY.. G.....##M...',None
Bearish,b'$TSLA you didn&#39;t really think this was gonna continue??',None
Bearish,b'$TSLA bu bye',None
None,b'$TSLA watch the build under 307.50&#39;s . Lower highs so far',None
Bearish,b'$TSLA by noon it will be negative :)',Bearish
None,b'Automobile stocks rev higher after Europe fears ease https://seekingalpha.com/news/3258954?source=ansh $BMWYY# $DDAIF# $VLKAY# $RNSDF# $SORL# $FCAU# $RACE# $TSLA# $F',Bearish
None,b'$TSLA  Another algo day.',None
None,b'$TSLA This stock belongs in a trash can',None
Bullish,b'$TSLA this stock should be at $400 since amber heard is dating Elon musk',None
None,b'$TSLA Well I admit I freaked with the recall news and took profit. Should have held on to some she looks like she wants to go up a lot more!',Bearish
None,b'$TSLA Cashing out pre Bell gains- Normative!',Bullish
Bullish,b'$TSLA do NOT sell. Think about it.',None
Bearish,b'$TSLA This company doesn&#39;t not deserve this price. It still has way too much to prove.',None
None,b'Should You Buy Into the Hype for These Stocks? http://bit.ly/240417ADSK $ADSK $TSLA $NAK',None
None,b'$AAPL $TSLA remain in the bullish chop zone low volume for both towards key resistance points.',None
Bearish,b'$TSLA no one buying just sellers here and in the options',None
None,b'$TSLA ISNT IT TOO HIGH???',None
Bearish,b'$TSLA see a selloff -short@310.49 # cover 307-6',None
Bearish,b'$TSLA keep selling as we head towards 303 today',None
Bearish,b'$TSLA Scam stock',None
None,b'minute-by-minute VWAP results for $TSLA stock https://marketchameleon.com/Overview/TSLA/VwapTable/',None
None,b'$TSLA FBR @ 310. This thing has been acting like a turd. If it can only go up on tweets# then no real strength.',Bullish
None,b'$TSLA short here!',None
None,b'$TSLA Tesla amid positive outlook http://www.economies.com/stocks/united-states-analysis/tesla-amid-positive-outlook---analysis---24-04-2017-38263',Bullish
Bullish,b'$TSLA looking a little choppy here lets see what happens..',None
Bullish,b'$TSLA# # TRUE# TENACIOUS# TOUGH ...&quot;THINK TOMORROW&quot;!',None
Bullish,b'$TSLA Playing Technical..purely ..just hold and don&#39;t get caught in few hundreds ..go big and stay loooong!',None
None,b'@WSNA so hit my 25% intraday target with 143 weeklys. will entry again today for daily# and into ER. Watching $tsla and $nvda supprt/restns',None
Bearish,b'$TSLA I&#39;m short @210.49# cover 308-7 ? maybe',None
Bullish,b'$AAPL hit 25% day mark. in @ .69 and out @ .87# weekly 144 calls. Time new entries in $AAPL. $nvda $tsla and $nflx. ER plays: $RRV $CAT $vlo',None
None,b'$TSLA What a reversal @ 310.',None
None,b'$GS running much faster than anything else. $AAPL $FB $GOOGL $NVDA $AMZN $TSLA',None
None,b'$TSLA I see that Ronald McDonald aka &quot;the Clown&quot; has gone into hiding.',None
Bullish,b'$TSLA Bears feeling stupid yet ??',None
Bullish,b'$TSLA just the beginning ..',None
Bearish,b'$TSLA doubled down on puts',None
None,b'Share an idea on $TSLA made over 100K easy money.Will cash today.',Bullish
Bullish,b'$TSLA anyone here ever had a problem with options house filling sell orders?',Bearish
Bullish,b'$TSLA GO $TSLA',None
None,b'$TSLA how high can this fly today? ? 312?',None
Bullish,b'$TSLA booom ? boom',Bullish
None,b'$TSLA Garbage.... Honestly what exactly does Tesla do? They dont do S@it. Were they going to Mars ...lmao',None
None,b'$TSLA tesla 6 month trend 202-308 (M3 Unit premised-Musk successful attempt to break into mass market)  http://www.cnbc.com/quotes/?symbol=TSLA',None
Bullish,b'$TSLA key word: future',None
Bullish,b'$TSLA can the shorts just answer this one question? What do you wish on your future# your child future# and the future of humanity?',Bearish
Bullish,b'$TSLA 312!',None
None,b'$TSLA http://www.cnbc.com/quotes/?symbol=PCLN Priceline +up 37 Points',None
None,b'$TSLA Cashing out gains -Normative!! Trump Wed tax announcement -FYI Recap',Bullish
None,b'Tesla Suddenly Faces A Swarm Of Electric Vehicle Competition $TSLA http://etfdailynews.com/2017/04/24/tesla-suddenly-faces-a-swarm-of-electric-vehicle-competition/',None
None,b'$TSLA owner seeks $1M after Model X accident# Electrek says http://bit.ly/2oDCJUX',Bearish
Bullish,b'$TSLA MAKE TEZLA GREAT AGAIN',Bullish
Bullish,b'$TSLA lol people selling...',None
None,b'$TSLA all overvalued stocks will see some profit taking today... France is great# but will it really help TSLA?',None
Bearish,b'$TSLA',None
Bearish,b'$TSLA negative by day&#39;s end keep selling',Bearish
Bearish,b'$TSLA this is going to collapse huge.. option mm are giving the calls away',Bearish
None,b'$TSLA  New bag holders @ 309.00 Woo Whoooo',None
Bullish,b'$TSLA wow :O',None
None,b'$TSLA  R U F@ken kidding me... this is such BS.',None
None,b'#Tesla Inc Stock: Mounting Challenges# But Don&#39;t Short #TSLA Stock Yet @AbhishekSanat $TSLA https://amigobulls.com/articles/2017-04-21-tesla-inc-stock-mounting-challenges-but-dont-short-the-stock-yet',Bearish
None,b'The Market In 5 Minutes https://benzinga.com/z/9334307 $SPY $AAPL $GOOG $AMZN $BAC $CVX $TSLA $X $DIS $GRPN',None
Bullish,b'$NVDA $AMD $AAPL $FB $TSLA market is looking really good',Bullish
Bullish,b'$TSLA SOMEONE CHECK ON @Clanky',None
None,b'$TSLA #Tesla Will Charge its Cars in a New Way -https://goo.gl/nl0I5o',None
None,b'$aapl $fb $tsla $amzn How to be a millionaire from trading stocks like le Donald. http://amzn.to/2pcWQ03',None
None,b'$TSLA #Tesla Share Price Will Increase 10 Times in the Next 5-10 Years - https://goo.gl/DPoCAi',None
None,b'$TSLA #Tesla Gets New Building Permits Ahead of #Model3 Production - https://goo.gl/cb2iNZ',None
Bullish,b'$TSLA FYI!',None
None,b'$TSLA #Tesla #CEOElonMusk Paid $593 Million in Taxes Last Year - https://goo.gl/dwKBtQ',None
None,b'$TSLA #Tesla Superchargers# Store to Open in Ireland Next Week - https://goo.gl/SQE5kp',None
None,b'$TSLA $314 coming',None
None,b'Silicon Valley Investor Wants Musk to End Relationship with Trump $TSLA http://dlvr.it/Nz1FK9',None
None,b'$TSLA and $BABA are two great stories if you never listened to all the bears.',Bullish
None,b'$TSLA $AMZN $SPY $NVDA $AAPL Theres the Squeeze',None
Bullish,b'$AAPL $AMZN $TSLA It&#39;s been a long time to see such excitement in premarket!',Bullish
Bullish,b'$TSLA $315',None
Bullish,b'$TSLA would love to see 312 today',None
None,b'?Tesla To Come In Below $300 After Earnings? (POLL) \n http://bit.ly/240417TSLA1 $TSLA',None
Bullish,b'$TSLA days like these make me regret not buying @$180. ?',None
None,b'@pizzaguy @marketgenius I&#39;m short both $NFLS and $TSLA',None
Bullish,b'$TSLA $320#$$',None
None,b'Morgan Stanley Applauds Tesla&#39;s Foray Into Commercial Trucking http://bit.ly/240417TSLA $TSLA',None
Bullish,b'$TSLA looking to break $313 today',Bearish
Bearish,b'$TSLA who&#39;s ready to load up on $300 weekly puts? I am',None
None,b'$TSLA 500 shares long 309.81 or SS 308.15',None
Bearish,b'@richmma @marketgenius I felt this way about $tsla @ around 100  a few years ago. Look at that house of cards now.',None
Bullish,b'$TSLA Uh oh shorts... the squeeze is coming....',None
Bullish,b'$TSLA busy day(s) BUT suffice it 2 say that# from a TA perspective looks like it might &#39;up-curl&#39; -- pls continue tightly FOCUSED dear TESLA&gt;',None
None,b'$TSLA got to  admit# I do have a bid for Amber Heard. Like the fact she is open minded. But look at the pattern of Musk relations. not stabl',None
None,b'$TSLA $BABA he slept great he doesn&#39;t short Tesla any more...',Bullish
